date,.rep,.sim,.sim_growth_rate
2022 Q2,1009,67998.36646959727,0.012702765035135899
2022 Q3,1009,67756.7758734182,-0.003552888234265028
2022 Q4,1009,68115.2765318179,0.0052909934656490964
2023 Q1,1009,68045.78269791674,-0.0010202385931545876
2021 Q2,101,65024.46148159184,-0.0046628958929775255
2021 Q3,101,64462.050102877416,-0.008649227781357904
2021 Q4,101,65018.29270813283,0.008628993405696672
2022 Q1,101,66149.7518320158,0.017402166017524978
2022 Q2,101,66118.40847472327,-4.738242612326582e-4
2022 Q3,101,66351.58765983673,0.003526690833803192
2022 Q4,101,66993.83357002695,0.009679435456507957
2023 Q1,101,67042.33581934718,7.239808014498639e-4
2021 Q2,1010,65284.67308498094,-6.798061776451814e-4
2021 Q3,1010,65250.49613550241,-5.235064811313084e-4
2021 Q4,1010,66426.3725150165,0.018020956914598818
